,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
MBP,0.8075052230430294,0.0,9.721715e-05,0.0,0.009900990099009901,0.0003194501635360019,0.0,0.0,0.022282798422377872
PLP1,0.701896709891257,0.0,9.721715e-05,0.0,0.009900990099009901,0.00028199278122554823,0.0,0.0,0.022282798422377872
SCGB2A2,0.7016574657167673,0.0,9.721715e-05,0.0,0.009900990099009901,0.00018286700217596166,0.0,0.0,0.022282798422377872
MOBP,0.6460556738048763,0.0,9.721715e-05,0.0,0.009900990099009901,0.00022496644984838478,0.0,0.0,0.022282798422377872
GFAP,0.6246221980213504,0.0,9.721715e-05,0.0,0.009900990099009901,0.00017678655827611139,0.0,0.0,0.022282798422377872
TF,0.5926695552833561,0.0,9.721715e-05,0.0,0.009900990099009901,0.00019562308125618024,0.0,0.0,0.022282798422377872
CNP,0.5716676433588874,0.0,9.721715e-05,0.0,0.009900990099009901,0.00020526453611548247,0.0,0.0,0.022282798422377872
CRYAB,0.5613454564236153,0.0,9.721715e-05,0.0,0.009900990099009901,0.00020931395658993902,0.0,0.0,0.022282798422377872
MAG,0.5458580110463086,0.0,9.721715e-05,0.0,0.009900990099009901,0.00019356117588816037,0.0,0.0,0.022282798422377872
PPP1R14A,0.533417950234954,0.0,9.721715e-05,0.0,0.009900990099009901,0.00018597334175636567,0.0,0.0,0.022282798422377872
ERMN,0.5089056463565631,0.0,9.721715e-05,0.0,0.009900990099009901,0.00018491963927264455,0.0,0.0,0.022282798422377872
CLDND1,0.5002966717009586,0.0,9.721715e-05,0.0,0.009900990099009901,0.00016300009489804011,0.0,0.0,0.022282798422377872
CLDN11,0.49561344885957975,0.0,9.721715e-05,0.0,0.009900990099009901,0.00016833677153843725,0.0,0.0,0.022282798422377872
SCGB1D2,0.49227320762824417,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012051150990603084,0.0,0.0,0.022282798422377872
MOG,0.4774625635820539,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013928310552071147,0.0,0.0,0.022282798422377872
SPP1,0.47182289131868227,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001880561407464644,0.0,0.0,0.022282798422377872
S100B,0.45995111024077806,0.0,9.721715e-05,0.0,0.009900990099009901,0.00015133438657198548,0.0,0.0,0.022282798422377872
ENC1,0.45808888836606443,0.0,9.721715e-05,0.0,0.009900990099009901,0.00018844946440975537,0.0,0.0,0.022282798422377872
NRGN,0.4562475734529683,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001682716672790172,0.0,0.0,0.022282798422377872
SNAP25,0.4448458518386949,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014758043031342277,0.0,0.0,0.022282798422377872
RNASE1,0.44328174790133135,0.0,9.721715e-05,0.0,0.009900990099009901,0.00015017753579194402,0.0,0.0,0.022282798422377872
CARNS1,0.44086410773907625,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001553471639333412,0.0,0.0,0.022282798422377872
HSPA2,0.42572376470801554,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001450257512296876,0.0,0.0,0.022282798422377872
PTGDS,0.418790574987957,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001578154176852815,0.0,0.0,0.022282798422377872
SEPT4,0.41769060050901924,0.0,9.721715e-05,0.0,0.009900990099009901,0.00017738743523248453,0.0,0.0,0.022282798422377872
TMEM144,0.40709593465359856,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014453554975097028,0.0,0.0,0.022282798422377872
MAL,0.4040129586870134,0.0,9.721715e-05,0.0,0.009900990099009901,0.00017704066176076308,0.0,0.0,0.022282798422377872
LINC00844,0.40062100589007127,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014956648858906716,0.0,0.0,0.022282798422377872
BCAS1,0.4005260839707713,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001735010623804796,0.0,0.0,0.022282798422377872
VSNL1,0.39413847253002404,0.0,9.721715e-05,0.0,0.009900990099009901,0.00016864745784238175,0.0,0.0,0.022282798422377872
CCK,0.39096336958490163,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014769252503225535,0.0,0.0,0.022282798422377872
NEFL,0.38953424713409507,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001291101949904801,0.0,0.0,0.022282798422377872
IGKC,0.3877179775055432,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014330173326474336,0.0,0.0,0.022282798422377872
PAQR6,0.38758331221139014,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012970123919485354,0.0,0.0,0.022282798422377872
SELENOP,0.38107780345887227,0.0,9.721715e-05,0.0,0.009900990099009901,0.00019111872589200625,0.0,0.0,0.022282798422377872
ENPP2,0.37719773199620404,0.0,9.721715e-05,0.0,0.009900990099009901,0.00016370883320038514,0.0,0.0,0.022282798422377872
SCD,0.3698402221059124,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014850602216071406,0.0,0.0,0.022282798422377872
OLFM1,0.3668284331796328,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012688567143041125,0.0,0.0,0.022282798422377872
SYT1,0.35816917034910256,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010663915938501587,0.0,0.0,0.022282798422377872
NKX6-2,0.3570065529690755,0.0,9.721715e-05,0.0,0.009900990099009901,0.00017806380844094307,0.0,0.0,0.022282798422377872
ELOVL1,0.35624815831975254,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012437839388702247,0.0,0.0,0.022282798422377872
TMSB10,0.3525815469737699,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012215437378463247,0.0,0.0,0.022282798422377872
SAA1,0.3495334361357547,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013339724648797925,0.0,0.0,0.022282798422377872
KLK6,0.3423534077532808,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013560136058118696,0.0,0.0,0.022282798422377872
MGP,0.34141163908602346,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011519343983894934,0.0,0.0,0.022282798422377872
TTYH2,0.339052222142178,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012170724439492577,0.0,0.0,0.022282798422377872
PLLP,0.3384323716038831,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001535659376550869,0.0,0.0,0.022282798422377872
YWHAH,0.3375089552113048,0.0,9.721715e-05,0.0,0.009900990099009901,0.0001428483189513382,0.0,0.0,0.022282798422377872
OPALIN,0.33612794027314113,0.0,9.721715e-05,0.0,0.009900990099009901,0.00016054618919296142,0.0,0.0,0.022282798422377872
MARCKSL1,0.33438440438271044,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011004678842948202,0.0,0.0,0.022282798422377872
PLEKHH1,0.32894854430272286,0.0,9.721715e-05,0.0,0.009900990099009901,0.00010180393500330022,0.0,0.0,0.022282798422377872
PLEKHB1,0.3269707034109758,0.0,9.721715e-05,0.0,0.009900990099009901,0.00011047277927242089,0.0,0.0,0.022282798422377872
HBB,0.3251813528614936,0.0,9.721715e-05,0.0,0.009900990099009901,0.00012031899902164813,0.0,0.0,0.022282798422377872
PMP22,0.32442899380970186,0.0,9.721715e-05,0.0,0.009900990099009901,0.00013002818511284153,0.0,0.0,0.022282798422377872
LHPP,0.3221411286652337,0.0,9.721715e-05,0.0,0.009900990099009901,9.339487738620115e-05,0.0,0.0,0.022282798422377872
CNTN2,0.3199729718840096,0.0,9.721715e-05,0.0,0.009900990099009901,0.00014071293714719402,0.0,0.0,0.022282798422377872
